encoder,method,param,cv_mean,point,ci_lo,ci_hi,ci_width,d_method,d_method_lo,d_method_hi,d_method_verdict,d_encoder,d_encoder_lo,d_encoder_hi,d_encoder_verdict
xl-lexeme,f_SUS,1000,0.7524,0.7859,0.5707,0.9116,0.3409,,,,基准,,,,基准
xl-lexeme,f_OT,N/A,0.752,0.7787,0.5635,0.9084,0.3449,-0.0072,-0.0412,0.0187,区分不开,,,,基准
xl-lexeme,f_APD,N/A,0.7203,0.7337,0.5033,0.8803,0.377,-0.0522,-0.1329,0.0192,区分不开,,,,基准
xl-lexeme,f_PRT,N/A,0.6665,0.7018,0.4623,0.8603,0.398,-0.0841,-0.1927,-0.0133,显著更差,,,,基准
xl-lexeme,f_APDP,0.9,0.6131,0.657,0.4016,0.8306,0.429,-0.1289,-0.2669,-0.0105,显著更差,,,,基准
xl-lexeme,f_LDR,N/A,0.4548,0.494,0.2041,0.7015,0.4974,-0.2919,-0.5397,-0.066,显著更差,,,,基准
xl-lexeme,f_WiDiD,0.9,0.3655,0.4412,0.1485,0.6582,0.5097,-0.3447,-0.619,-0.0889,显著更差,,,,基准
bert-base-chinese,f_SUS,100,0.7142,0.7431,0.5622,0.8549,0.2927,,,,基准,-0.0428,-0.1866,0.1281,区分不开
bert-base-chinese,f_OT,N/A,0.7175,0.7515,0.5794,0.8544,0.275,0.0084,-0.0113,0.0493,区分不开,-0.0272,-0.171,0.143,区分不开
bert-base-chinese,f_APD,N/A,0.6194,0.6429,0.4335,0.7792,0.3457,-0.1002,-0.2033,-0.0119,显著更差,-0.0908,-0.2438,0.0607,区分不开
bert-base-chinese,f_PRT,N/A,0.6855,0.7086,0.507,0.8421,0.335,-0.0346,-0.1842,0.0975,区分不开,0.0068,-0.1025,0.1399,区分不开
bert-base-chinese,f_APDP,0.7,0.5846,0.6409,0.4218,0.7941,0.3723,-0.1022,-0.2926,0.1008,区分不开,-0.0161,-0.2767,0.2761,区分不开
bert-base-chinese,f_LDR,N/A,0.3861,0.3939,0.1115,0.62,0.5085,-0.3493,-0.626,-0.0869,显著更差,-0.1001,-0.3555,0.1368,区分不开
bert-base-chinese,f_WiDiD,0.8,0.1872,0.2244,-0.073,0.4918,0.5648,-0.5187,-0.7728,-0.2682,显著更差,-0.2168,-0.5538,0.1107,区分不开
chinese-roberta-wwm-ext,f_SUS,1000,0.6839,0.7327,0.5436,0.8517,0.3082,,,,基准,-0.0532,-0.1545,0.0617,区分不开
chinese-roberta-wwm-ext,f_OT,N/A,0.6989,0.7318,0.5316,0.8555,0.3239,-0.001,-0.0564,0.0513,区分不开,-0.047,-0.1362,0.0444,区分不开
chinese-roberta-wwm-ext,f_APD,N/A,0.6638,0.7073,0.507,0.8288,0.3217,-0.0254,-0.0976,0.038,区分不开,-0.0263,-0.1531,0.101,区分不开
chinese-roberta-wwm-ext,f_PRT,N/A,0.6302,0.6495,0.4147,0.8076,0.3929,-0.0832,-0.2222,0.0467,区分不开,-0.0523,-0.1383,0.0338,区分不开
chinese-roberta-wwm-ext,f_APDP,0.8,0.524,0.5446,0.2599,0.7504,0.4905,-0.1881,-0.4288,0.0337,区分不开,-0.1124,-0.4034,0.2081,区分不开
chinese-roberta-wwm-ext,f_LDR,N/A,0.3868,0.3913,0.1051,0.6242,0.519,-0.3415,-0.6072,-0.1091,显著更差,-0.1027,-0.3194,0.1114,区分不开
chinese-roberta-wwm-ext,f_WiDiD,0.7,0.2425,0.3357,0.0214,0.5915,0.57,-0.3971,-0.6963,-0.1078,显著更差,-0.1055,-0.4603,0.2537,区分不开
chinese-macbert-base,f_SUS,200,0.5864,0.6348,0.3663,0.801,0.4347,,,,基准,-0.1511,-0.2916,-0.0423,显著更差
chinese-macbert-base,f_OT,N/A,0.6027,0.6256,0.3602,0.7972,0.437,-0.0092,-0.0386,0.008,区分不开,-0.1531,-0.3039,-0.0262,显著更差
chinese-macbert-base,f_APD,N/A,0.5992,0.6084,0.3276,0.8023,0.4747,-0.0263,-0.1466,0.0817,区分不开,-0.1252,-0.3056,0.018,区分不开
chinese-macbert-base,f_PRT,N/A,0.574,0.5594,0.2874,0.7585,0.471,-0.0754,-0.224,0.0836,区分不开,-0.1424,-0.2701,-0.0147,显著更差
chinese-macbert-base,f_APDP,0.7,0.5662,0.5621,0.2833,0.775,0.4917,-0.0727,-0.3369,0.2244,区分不开,-0.095,-0.3811,0.2193,区分不开
chinese-macbert-base,f_LDR,N/A,0.366,0.3488,0.0428,0.5904,0.5476,-0.286,-0.5681,-0.0128,显著更差,-0.1452,-0.3565,0.0421,区分不开
chinese-macbert-base,f_WiDiD,0.9,0.4971,0.4851,0.1806,0.7092,0.5285,-0.1497,-0.4072,0.09,区分不开,0.0439,-0.2756,0.3716,区分不开
xlm-roberta-large,f_SUS,20,0.6127,0.6053,0.328,0.8065,0.4785,,,,基准,-0.1806,-0.386,-0.0059,显著更差
xlm-roberta-large,f_OT,N/A,0.594,0.5956,0.3128,0.7921,0.4793,-0.0097,-0.0458,0.0257,区分不开,-0.1832,-0.3842,-0.0094,显著更差
xlm-roberta-large,f_APD,N/A,0.4175,0.4204,0.1006,0.6735,0.5728,-0.1849,-0.3717,-0.0399,显著更差,-0.3133,-0.5799,-0.0597,显著更差
xlm-roberta-large,f_PRT,N/A,0.4331,0.44,0.1285,0.6825,0.554,-0.1653,-0.4136,0.075,区分不开,-0.2618,-0.5117,-0.0426,显著更差
xlm-roberta-large,f_APDP,0.8,0.467,0.445,0.138,0.6847,0.5467,-0.1603,-0.3716,0.0285,区分不开,-0.212,-0.4664,0.0674,区分不开
xlm-roberta-large,f_LDR,N/A,0.3686,0.3583,0.0514,0.6112,0.5598,-0.2469,-0.5383,0.0798,区分不开,-0.1356,-0.4252,0.1303,区分不开
xlm-roberta-large,f_WiDiD,0.5,0.1899,0.2858,-0.0438,0.5719,0.6157,-0.3195,-0.6307,-0.0199,显著更差,-0.1554,-0.5625,0.2537,区分不开
