encoder,method,nested_cv_mean,modal_layer,modal_param,modal_count
bert-base-chinese,f_SUS,0.6579,4,1000,18
bert-base-chinese,f_OT,0.6774,5,N/A,49
bert-base-chinese,f_APD,0.6663,4,N/A,80
bert-base-chinese,f_PRT,0.6463,12,N/A,83
chinese-roberta-wwm-ext,f_SUS,0.6146,8,200,25
chinese-roberta-wwm-ext,f_OT,0.6593,8,N/A,61
chinese-roberta-wwm-ext,f_APD,0.6292,11,N/A,49
chinese-roberta-wwm-ext,f_PRT,0.6547,11,N/A,55
chinese-macbert-base,f_SUS,0.6341,4,200,68
chinese-macbert-base,f_OT,0.6243,4,N/A,50
chinese-macbert-base,f_APD,0.5747,4,N/A,60
chinese-macbert-base,f_PRT,0.6197,3,N/A,59
xlm-roberta-large,f_SUS,0.7161,13,500,47
xlm-roberta-large,f_OT,0.7148,13,N/A,66
xlm-roberta-large,f_APD,0.5624,12,N/A,42
xlm-roberta-large,f_PRT,0.6265,11,N/A,41
xl-lexeme,f_SUS,0.7524,-1,1000,68
xl-lexeme,f_OT,0.752,-1,N/A,100
xl-lexeme,f_APD,0.7203,-1,N/A,100
xl-lexeme,f_PRT,0.6665,-1,N/A,100
