encoder,layer,method,param,cv_mean,point,ci_lo,ci_hi,d_vs_xllex,d_lo,d_hi,d_verdict
bert-base-chinese,0,f_SUS,100,-0.159,-0.0828,-0.4231,0.2397,-0.8687,-1.1901,-0.5198,显著更差
bert-base-chinese,0,f_OT,N/A,-0.1012,-0.0987,-0.4346,0.2234,-0.8774,-1.2104,-0.5129,显著更差
bert-base-chinese,0,f_APD,N/A,-0.1149,-0.1261,-0.4347,0.1923,-0.8598,-1.1838,-0.4697,显著更差
bert-base-chinese,0,f_PRT,N/A,-0.1834,-0.1986,-0.4929,0.1191,-0.9004,-1.1916,-0.5581,显著更差
bert-base-chinese,1,f_SUS,100,0.4224,0.4604,0.1583,0.6895,-0.3255,-0.6097,-0.0693,显著更差
bert-base-chinese,1,f_OT,N/A,0.4182,0.4557,0.1474,0.6835,-0.323,-0.6003,-0.0591,显著更差
bert-base-chinese,1,f_APD,N/A,0.3297,0.3456,0.0283,0.6254,-0.3881,-0.7054,-0.0487,显著更差
bert-base-chinese,1,f_PRT,N/A,0.3866,0.3919,0.084,0.6561,-0.3099,-0.4999,-0.1051,显著更差
bert-base-chinese,2,f_SUS,200,0.5175,0.5837,0.3154,0.7621,-0.2022,-0.464,0.0412,区分不开
bert-base-chinese,2,f_OT,N/A,0.5054,0.5657,0.2868,0.7541,-0.2131,-0.4879,0.0489,区分不开
bert-base-chinese,2,f_APD,N/A,0.4686,0.5293,0.2663,0.717,-0.2044,-0.4769,0.055,区分不开
bert-base-chinese,2,f_PRT,N/A,0.5378,0.5642,0.2936,0.7638,-0.1376,-0.2936,0.0146,区分不开
bert-base-chinese,3,f_SUS,10,0.5787,0.6447,0.4139,0.7973,-0.1412,-0.3675,0.093,区分不开
bert-base-chinese,3,f_OT,N/A,0.5869,0.6449,0.4139,0.7973,-0.1338,-0.367,0.1004,区分不开
bert-base-chinese,3,f_APD,N/A,0.5344,0.5855,0.3452,0.7479,-0.1481,-0.3981,0.1046,区分不开
bert-base-chinese,3,f_PRT,N/A,0.6256,0.6638,0.4425,0.8115,-0.038,-0.1654,0.1013,区分不开
bert-base-chinese,4,f_SUS,1000,0.6835,0.7511,0.5873,0.845,-0.0348,-0.1791,0.1394,区分不开
bert-base-chinese,4,f_OT,N/A,0.7086,0.7438,0.5675,0.85,-0.0349,-0.175,0.1259,区分不开
bert-base-chinese,4,f_APD,N/A,0.6888,0.7288,0.5636,0.8318,-0.0049,-0.1547,0.1477,区分不开
bert-base-chinese,4,f_PRT,N/A,0.6443,0.6764,0.4646,0.8254,-0.0254,-0.1305,0.0975,区分不开
bert-base-chinese,5,f_SUS,200,0.7139,0.7582,0.5979,0.8503,-0.0277,-0.1515,0.1313,区分不开
bert-base-chinese,5,f_OT,N/A,0.7252,0.7592,0.6029,0.8527,-0.0196,-0.1549,0.1506,区分不开
bert-base-chinese,5,f_APD,N/A,0.6905,0.7085,0.5169,0.8357,-0.0252,-0.1811,0.1458,区分不开
bert-base-chinese,5,f_PRT,N/A,0.6055,0.6384,0.416,0.7962,-0.0634,-0.1677,0.0464,区分不开
bert-base-chinese,6,f_SUS,100,0.6801,0.7278,0.5427,0.8378,-0.0581,-0.1939,0.098,区分不开
bert-base-chinese,6,f_OT,N/A,0.6848,0.7296,0.5527,0.8362,-0.0492,-0.1903,0.1072,区分不开
bert-base-chinese,6,f_APD,N/A,0.6106,0.6579,0.4326,0.7987,-0.0758,-0.251,0.1019,区分不开
bert-base-chinese,6,f_PRT,N/A,0.6089,0.6406,0.4276,0.791,-0.0612,-0.1906,0.0696,区分不开
bert-base-chinese,7,f_SUS,100,0.6599,0.7109,0.5311,0.8253,-0.075,-0.2,0.0595,区分不开
bert-base-chinese,7,f_OT,N/A,0.6772,0.7191,0.544,0.8273,-0.0597,-0.1827,0.0811,区分不开
bert-base-chinese,7,f_APD,N/A,0.6184,0.6409,0.4148,0.7911,-0.0928,-0.26,0.0678,区分不开
bert-base-chinese,7,f_PRT,N/A,0.6062,0.64,0.423,0.7918,-0.0618,-0.163,0.0356,区分不开
bert-base-chinese,8,f_SUS,10,0.6779,0.7282,0.5473,0.8415,-0.0577,-0.1807,0.0788,区分不开
bert-base-chinese,8,f_OT,N/A,0.6974,0.7365,0.5608,0.8447,-0.0423,-0.1695,0.1038,区分不开
bert-base-chinese,8,f_APD,N/A,0.6196,0.6512,0.422,0.8004,-0.0825,-0.2334,0.0683,区分不开
bert-base-chinese,8,f_PRT,N/A,0.6229,0.6544,0.4313,0.8086,-0.0474,-0.1462,0.0597,区分不开
bert-base-chinese,9,f_SUS,100,0.693,0.7279,0.5287,0.8539,-0.058,-0.1666,0.0547,区分不开
bert-base-chinese,9,f_OT,N/A,0.7182,0.7334,0.5345,0.8589,-0.0453,-0.1551,0.0736,区分不开
bert-base-chinese,9,f_APD,N/A,0.6424,0.6643,0.44,0.8096,-0.0694,-0.2267,0.0848,区分不开
bert-base-chinese,9,f_PRT,N/A,0.6436,0.6681,0.4473,0.8252,-0.0337,-0.1369,0.0714,区分不开
bert-base-chinese,10,f_SUS,10,0.6835,0.7017,0.4762,0.8474,-0.0842,-0.1975,0.0095,区分不开
bert-base-chinese,10,f_OT,N/A,0.6908,0.7052,0.4839,0.8484,-0.0735,-0.187,0.0245,区分不开
bert-base-chinese,10,f_APD,N/A,0.5937,0.6215,0.3731,0.786,-0.1122,-0.2758,0.0376,区分不开
bert-base-chinese,10,f_PRT,N/A,0.6055,0.6252,0.3893,0.7967,-0.0766,-0.1948,0.035,区分不开
bert-base-chinese,11,f_SUS,10,0.658,0.6734,0.4417,0.8315,-0.1125,-0.2476,0.0087,区分不开
bert-base-chinese,11,f_OT,N/A,0.6636,0.6743,0.4417,0.8282,-0.1044,-0.2392,0.0209,区分不开
bert-base-chinese,11,f_APD,N/A,0.5816,0.6031,0.3402,0.7809,-0.1306,-0.2969,0.0226,区分不开
bert-base-chinese,11,f_PRT,N/A,0.5815,0.6119,0.3734,0.781,-0.0899,-0.2179,0.0305,区分不开
bert-base-chinese,12,f_SUS,100,0.7142,0.7431,0.5622,0.8549,-0.0428,-0.1866,0.1281,区分不开
bert-base-chinese,12,f_OT,N/A,0.7175,0.7515,0.5794,0.8544,-0.0272,-0.171,0.143,区分不开
bert-base-chinese,12,f_APD,N/A,0.6194,0.6429,0.4335,0.7792,-0.0908,-0.2438,0.0607,区分不开
bert-base-chinese,12,f_PRT,N/A,0.6855,0.7086,0.507,0.8421,0.0068,-0.1025,0.1399,区分不开
chinese-roberta-wwm-ext,0,f_SUS,200,-0.1605,-0.105,-0.4349,0.2103,-0.8909,-1.2209,-0.5418,显著更差
chinese-roberta-wwm-ext,0,f_OT,N/A,-0.1289,-0.1419,-0.4717,0.1683,-0.9207,-1.2402,-0.5602,显著更差
chinese-roberta-wwm-ext,0,f_APD,N/A,-0.2044,-0.2093,-0.5228,0.1068,-0.943,-1.2694,-0.5394,显著更差
chinese-roberta-wwm-ext,0,f_PRT,N/A,-0.1373,-0.1701,-0.4798,0.1557,-0.8719,-1.1883,-0.506,显著更差
chinese-roberta-wwm-ext,1,f_SUS,500,0.4286,0.5023,0.2282,0.7113,-0.2836,-0.5426,-0.036,显著更差
chinese-roberta-wwm-ext,1,f_OT,N/A,0.4653,0.5032,0.2041,0.7175,-0.2756,-0.5508,-0.0128,显著更差
chinese-roberta-wwm-ext,1,f_APD,N/A,0.418,0.4408,0.143,0.6787,-0.2929,-0.5892,-0.0023,显著更差
chinese-roberta-wwm-ext,1,f_PRT,N/A,0.4504,0.4738,0.1945,0.6953,-0.228,-0.4009,-0.0691,显著更差
chinese-roberta-wwm-ext,2,f_SUS,200,0.5552,0.633,0.3876,0.7823,-0.1529,-0.3677,0.0411,区分不开
chinese-roberta-wwm-ext,2,f_OT,N/A,0.5497,0.618,0.3695,0.7731,-0.1607,-0.3834,0.0468,区分不开
chinese-roberta-wwm-ext,2,f_APD,N/A,0.4948,0.5681,0.3108,0.7459,-0.1656,-0.4216,0.0682,区分不开
chinese-roberta-wwm-ext,2,f_PRT,N/A,0.5544,0.5828,0.3284,0.7716,-0.119,-0.2581,0.0149,区分不开
chinese-roberta-wwm-ext,3,f_SUS,10,0.6192,0.679,0.4817,0.8064,-0.1069,-0.2732,0.0726,区分不开
chinese-roberta-wwm-ext,3,f_OT,N/A,0.6346,0.6788,0.4805,0.8064,-0.0999,-0.2703,0.0856,区分不开
chinese-roberta-wwm-ext,3,f_APD,N/A,0.5729,0.6239,0.4054,0.7691,-0.1098,-0.3186,0.0857,区分不开
chinese-roberta-wwm-ext,3,f_PRT,N/A,0.6201,0.6442,0.4049,0.8136,-0.0576,-0.19,0.0746,区分不开
chinese-roberta-wwm-ext,4,f_SUS,200,0.6543,0.7284,0.5559,0.8343,-0.0575,-0.2079,0.113,区分不开
chinese-roberta-wwm-ext,4,f_OT,N/A,0.6653,0.7221,0.5523,0.8248,-0.0566,-0.2068,0.1086,区分不开
chinese-roberta-wwm-ext,4,f_APD,N/A,0.6457,0.6946,0.4779,0.8287,-0.039,-0.2022,0.1338,区分不开
