encoder,pool,method,param,cv_mean,point,ci_lo,ci_hi,d_vs_mean,d_lo,d_hi,d_verdict
bert-base-chinese,mean,f_SUS,100,0.7142,0.7431,0.5622,0.8549,,,,基准
bert-base-chinese,mean,f_OT,N/A,0.7175,0.7515,0.5794,0.8544,,,,基准
bert-base-chinese,mean,f_APD,N/A,0.6194,0.6429,0.4335,0.7792,,,,基准
bert-base-chinese,mean,f_PRT,N/A,0.6855,0.7086,0.507,0.8421,,,,基准
bert-base-chinese,mean,f_APDP,0.7,0.5846,0.6409,0.4218,0.7941,,,,基准
bert-base-chinese,mean,f_LDR,N/A,0.3861,0.3939,0.1115,0.62,,,,基准
bert-base-chinese,mean,f_WiDiD,0.8,0.1872,0.2244,-0.073,0.4918,,,,基准
bert-base-chinese,sum,f_SUS,100,0.7142,0.7431,0.5622,0.8549,0.0,0.0,0.0,区分不开
bert-base-chinese,sum,f_OT,N/A,0.7175,0.7515,0.5794,0.8544,0.0,0.0,0.0,区分不开
bert-base-chinese,sum,f_APD,N/A,0.6194,0.6429,0.4335,0.7792,0.0,0.0,0.0,区分不开
bert-base-chinese,sum,f_PRT,N/A,0.6855,0.7086,0.507,0.8421,0.0,0.0,0.0,区分不开
bert-base-chinese,sum,f_APDP,0.7,0.5846,0.6409,0.4218,0.7941,0.0,0.0,0.0,区分不开
bert-base-chinese,sum,f_LDR,N/A,0.3861,0.3939,0.1115,0.62,0.0,0.0,0.0,区分不开
bert-base-chinese,sum,f_WiDiD,0.8,0.1872,0.2244,-0.073,0.4918,0.0,0.0,0.0,区分不开
bert-base-chinese,first,f_SUS,10,0.6729,0.7302,0.5364,0.8419,-0.0129,-0.0914,0.0569,区分不开
bert-base-chinese,first,f_OT,N/A,0.6726,0.7224,0.5303,0.8359,-0.0291,-0.104,0.0251,区分不开
bert-base-chinese,first,f_APD,N/A,0.6145,0.6462,0.4513,0.7774,0.0033,-0.0876,0.101,区分不开
bert-base-chinese,first,f_PRT,N/A,0.6402,0.6747,0.4492,0.8257,-0.0339,-0.0957,0.0117,区分不开
bert-base-chinese,first,f_APDP,0.8,0.5383,0.5544,0.2711,0.7769,-0.0865,-0.2519,0.0473,区分不开
bert-base-chinese,first,f_LDR,N/A,0.2962,0.3067,0.0079,0.5545,-0.0872,-0.1806,0.0046,区分不开
bert-base-chinese,first,f_WiDiD,0.5,0.4566,0.4826,0.1893,0.7062,0.2582,0.0491,0.4983,显著更好
chinese-roberta-wwm-ext,mean,f_SUS,1000,0.6839,0.7327,0.5436,0.8517,,,,基准
chinese-roberta-wwm-ext,mean,f_OT,N/A,0.6989,0.7318,0.5316,0.8555,,,,基准
chinese-roberta-wwm-ext,mean,f_APD,N/A,0.6638,0.7073,0.507,0.8288,,,,基准
chinese-roberta-wwm-ext,mean,f_PRT,N/A,0.6302,0.6495,0.4147,0.8076,,,,基准
chinese-roberta-wwm-ext,mean,f_APDP,0.8,0.524,0.5446,0.2599,0.7504,,,,基准
chinese-roberta-wwm-ext,mean,f_LDR,N/A,0.3868,0.3913,0.1051,0.6242,,,,基准
chinese-roberta-wwm-ext,mean,f_WiDiD,0.7,0.2425,0.3357,0.0214,0.5915,,,,基准
chinese-roberta-wwm-ext,sum,f_SUS,1000,0.6839,0.7327,0.5436,0.8517,0.0,0.0,0.0,区分不开
chinese-roberta-wwm-ext,sum,f_OT,N/A,0.6989,0.7318,0.5316,0.8555,0.0,0.0,0.0,区分不开
chinese-roberta-wwm-ext,sum,f_APD,N/A,0.6638,0.7073,0.507,0.8288,0.0,0.0,0.0,区分不开
chinese-roberta-wwm-ext,sum,f_PRT,N/A,0.6302,0.6495,0.4147,0.8076,0.0,0.0,0.0,区分不开
chinese-roberta-wwm-ext,sum,f_APDP,0.8,0.524,0.5446,0.2599,0.7504,0.0,0.0,0.0,区分不开
chinese-roberta-wwm-ext,sum,f_LDR,N/A,0.3868,0.3913,0.1051,0.6242,0.0,0.0,0.0,区分不开
chinese-roberta-wwm-ext,sum,f_WiDiD,0.7,0.2425,0.3357,0.0214,0.5915,0.0,0.0,0.0,区分不开
chinese-roberta-wwm-ext,first,f_SUS,10,0.6892,0.7331,0.5231,0.8683,0.0004,-0.086,0.0767,区分不开
chinese-roberta-wwm-ext,first,f_OT,N/A,0.6934,0.7266,0.4979,0.8686,-0.0052,-0.0817,0.0607,区分不开
chinese-roberta-wwm-ext,first,f_APD,N/A,0.6533,0.6976,0.4672,0.8367,-0.0097,-0.0876,0.0643,区分不开
chinese-roberta-wwm-ext,first,f_PRT,N/A,0.6357,0.6685,0.4274,0.8313,0.019,-0.0388,0.084,区分不开
chinese-roberta-wwm-ext,first,f_APDP,0.5,0.6035,0.5857,0.2929,0.7872,0.0411,-0.0477,0.1453,区分不开
chinese-roberta-wwm-ext,first,f_LDR,N/A,0.3818,0.3774,0.0731,0.6242,-0.0138,-0.0738,0.0401,区分不开
chinese-roberta-wwm-ext,first,f_WiDiD,0.6,0.1833,0.2573,-0.0552,0.5312,-0.0784,-0.3203,0.1567,区分不开
chinese-macbert-base,mean,f_SUS,200,0.5864,0.6348,0.3663,0.801,,,,基准
chinese-macbert-base,mean,f_OT,N/A,0.6027,0.6256,0.3602,0.7972,,,,基准
chinese-macbert-base,mean,f_APD,N/A,0.5992,0.6084,0.3276,0.8023,,,,基准
chinese-macbert-base,mean,f_PRT,N/A,0.574,0.5594,0.2874,0.7585,,,,基准
chinese-macbert-base,mean,f_APDP,0.7,0.5662,0.5621,0.2833,0.775,,,,基准
chinese-macbert-base,mean,f_LDR,N/A,0.366,0.3488,0.0428,0.5904,,,,基准
chinese-macbert-base,mean,f_WiDiD,0.9,0.4971,0.4851,0.1806,0.7092,,,,基准
chinese-macbert-base,sum,f_SUS,200,0.5864,0.6348,0.3663,0.801,0.0,0.0,0.0,区分不开
chinese-macbert-base,sum,f_OT,N/A,0.6027,0.6256,0.3602,0.7972,0.0,0.0,0.0,区分不开
chinese-macbert-base,sum,f_APD,N/A,0.5992,0.6084,0.3276,0.8023,0.0,0.0,0.0,区分不开
chinese-macbert-base,sum,f_PRT,N/A,0.574,0.5594,0.2874,0.7585,0.0,0.0,0.0,区分不开
chinese-macbert-base,sum,f_APDP,0.7,0.5662,0.5621,0.2833,0.775,0.0,0.0,0.0,区分不开
chinese-macbert-base,sum,f_LDR,N/A,0.366,0.3488,0.0428,0.5904,0.0,0.0,0.0,区分不开
chinese-macbert-base,sum,f_WiDiD,0.9,0.4971,0.4851,0.1806,0.7092,0.0,0.0,0.0,区分不开
chinese-macbert-base,first,f_SUS,200,0.5877,0.6385,0.3847,0.814,0.0037,-0.063,0.0725,区分不开
chinese-macbert-base,first,f_OT,N/A,0.5978,0.6411,0.3933,0.8123,0.0155,-0.0524,0.087,区分不开
chinese-macbert-base,first,f_APD,N/A,0.5893,0.6179,0.3515,0.8027,0.0095,-0.0589,0.0756,区分不开
chinese-macbert-base,first,f_PRT,N/A,0.5943,0.5887,0.3236,0.7742,0.0293,-0.0153,0.0821,区分不开
chinese-macbert-base,first,f_APDP,0.8,0.4472,0.4759,0.164,0.7212,-0.0861,-0.2338,0.0348,区分不开
chinese-macbert-base,first,f_LDR,N/A,0.3736,0.3468,0.0387,0.5945,-0.002,-0.0794,0.0747,区分不开
chinese-macbert-base,first,f_WiDiD,0.9,0.0578,0.1098,-0.2187,0.4089,-0.3753,-0.7492,0.0246,区分不开
xlm-roberta-large,mean,f_SUS,20,0.6127,0.6053,0.328,0.8065,,,,基准
xlm-roberta-large,mean,f_OT,N/A,0.594,0.5956,0.3128,0.7921,,,,基准
xlm-roberta-large,mean,f_APD,N/A,0.4175,0.4204,0.1006,0.6735,,,,基准
xlm-roberta-large,mean,f_PRT,N/A,0.4331,0.44,0.1285,0.6825,,,,基准
xlm-roberta-large,mean,f_APDP,0.8,0.467,0.445,0.138,0.6847,,,,基准
xlm-roberta-large,mean,f_LDR,N/A,0.3686,0.3583,0.0514,0.6112,,,,基准
xlm-roberta-large,mean,f_WiDiD,0.5,0.1899,0.2858,-0.0438,0.5719,,,,基准
xlm-roberta-large,sum,f_SUS,20,0.6127,0.6053,0.328,0.8065,0.0,0.0,0.0,区分不开
xlm-roberta-large,sum,f_OT,N/A,0.594,0.5956,0.3128,0.7921,0.0,0.0,0.0,区分不开
xlm-roberta-large,sum,f_APD,N/A,0.4175,0.4204,0.1006,0.6735,0.0,0.0,0.0,区分不开
xlm-roberta-large,sum,f_PRT,N/A,0.4319,0.439,0.1213,0.6814,-0.001,-0.0249,0.024,区分不开
xlm-roberta-large,sum,f_APDP,0.8,0.4694,0.4504,0.1465,0.6812,0.0053,-0.0334,0.0488,区分不开
xlm-roberta-large,sum,f_LDR,N/A,0.3686,0.3583,0.0514,0.6112,0.0,0.0,0.0,区分不开
xlm-roberta-large,sum,f_WiDiD,0.5,0.1899,0.2858,-0.0438,0.5719,0.0,0.0,0.0,区分不开
xlm-roberta-large,first,f_SUS,20,0.6429,0.6663,0.4159,0.8311,0.061,-0.1133,0.2822,区分不开
xlm-roberta-large,first,f_OT,N/A,0.653,0.6583,0.3947,0.8291,0.0627,-0.1105,0.2783,区分不开
xlm-roberta-large,first,f_APD,N/A,0.402,0.4338,0.1292,0.6812,0.0134,-0.2447,0.3123,区分不开
xlm-roberta-large,first,f_PRT,N/A,0.5303,0.5398,0.256,0.7465,0.0998,-0.0601,0.2742,区分不开
xlm-roberta-large,first,f_APDP,0.6,0.5286,0.5386,0.2762,0.7424,0.0935,-0.0863,0.2761,区分不开
xlm-roberta-large,first,f_LDR,N/A,0.3979,0.3928,0.0984,0.6278,0.0345,-0.1413,0.2621,区分不开
xlm-roberta-large,first,f_WiDiD,0.5,0.2435,0.302,-0.0101,0.5666,0.0162,-0.2075,0.2136,区分不开
