reg_m,level,rho,unmatched_mass,degenerate_frac,ci_lo,ci_hi
1,word,0.6824,0.6026,0.0,0.4602,0.8286
1,instance,0.4696,0.6026,0.0,0.3599,0.5589
1,sense,0.9983,0.6026,0.0,0.9956,0.9997
2,word,0.7205,0.4544,0.0,0.4972,0.8671
2,instance,0.5199,0.4544,0.0,0.4016,0.6119
2,sense,0.9836,0.4544,0.0,0.9635,0.9966
5,word,0.7546,0.2859,0.0,0.5275,0.8934
5,instance,0.6022,0.2859,0.0,0.4703,0.6995
5,sense,0.9772,0.2859,0.0,0.9485,0.9911
10,word,0.7743,0.1761,0.0,0.5569,0.907
10,instance,0.6325,0.1761,0.0,0.4943,0.7326
10,sense,0.9547,0.1761,0.0,0.9078,0.9877
20,word,0.7763,0.0922,0.0,0.5596,0.9097
20,instance,0.6368,0.0922,0.0,0.4977,0.738
20,sense,0.9397,0.0922,0.0,0.8947,0.979
50,word,0.7787,0.0376,0.0,0.5635,0.9084
50,instance,0.6368,0.0376,0.0,0.4985,0.7364
50,sense,0.9371,0.0376,0.0,0.8889,0.9754
100,word,0.7787,0.0191,0.0,0.5635,0.9084
100,instance,0.6341,0.0191,0.0,0.4959,0.7345
100,sense,0.9368,0.0191,0.0,0.8893,0.9761
200,word,0.7808,0.0099,0.0,0.5661,0.9095
200,instance,0.6317,0.0099,0.0,0.4947,0.7331
200,sense,0.935,0.0099,0.0,0.8871,0.9754
500,word,0.7801,0.0043,0.0,0.5645,0.9105
500,instance,0.6343,0.0043,0.0,0.4996,0.7326
500,sense,0.9329,0.0043,0.0,0.8861,0.9755
1000,word,0.7859,0.0023,0.0,0.5707,0.9116
1000,instance,0.6335,0.0023,0.0,0.4999,0.7309
1000,sense,0.9321,0.0023,0.0,0.8838,0.9774
2000,word,0.7763,0.0012,0.0,0.5494,0.9124
2000,instance,0.6245,0.0012,0.0,0.4902,0.7233
2000,sense,0.9352,0.0012,0.0,0.8906,0.9809
5000,word,0.7613,0.0005,0.0013,0.5318,0.9059
5000,instance,0.5979,0.0005,0.0013,0.4639,0.6981
5000,sense,0.9571,0.0005,0.0013,0.9221,0.9896
